date,year,week,cases,vax_rate,source
2010-01-04,2010,1,2,90.0,CDC_historical
2010-01-11,2010,2,1,90.0,CDC_historical
2010-01-18,2010,3,2,90.0,CDC_historical
2010-01-25,2010,4,3,90.0,CDC_historical
2010-02-01,2010,5,2,90.0,CDC_historical
2010-02-08,2010,6,2,90.0,CDC_historical
2010-02-15,2010,7,4,90.0,CDC_historical
2010-02-22,2010,8,4,90.0,CDC_historical
2010-03-01,2010,9,3,90.0,CDC_historical
2010-03-08,2010,10,4,90.0,CDC_historical
2010-03-15,2010,11,3,90.0,CDC_historical
2010-03-22,2010,12,3,90.0,CDC_historical
2010-03-29,2010,13,4,90.0,CDC_historical
2010-04-05,2010,14,1,90.0,CDC_historical
2010-04-12,2010,15,1,90.0,CDC_historical
2010-04-19,2010,16,2,90.0,CDC_historical
2010-04-26,2010,17,2,90.0,CDC_historical
2010-05-03,2010,18,3,90.0,CDC_historical
2010-05-10,2010,19,2,90.0,CDC_historical
2010-05-17,2010,20,1,90.0,CDC_historical
2010-05-24,2010,21,3,90.0,CDC_historical
2010-05-31,2010,22,1,90.0,CDC_historical
2010-06-07,2010,23,1,90.0,CDC_historical
2010-06-14,2010,24,0,90.0,CDC_historical
2010-06-21,2010,25,1,90.0,CDC_historical
2010-06-28,2010,26,1,90.0,CDC_historical
2010-07-05,2010,27,0,90.0,CDC_historical
2010-07-12,2010,28,1,90.0,CDC_historical
2010-07-19,2010,29,0,90.0,CDC_historical
2010-07-26,2010,30,0,90.0,CDC_historical
2010-08-02,2010,31,0,90.0,CDC_historical
2010-08-09,2010,32,1,90.0,CDC_historical
2010-08-16,2010,33,0,90.0,CDC_historical
2010-08-23,2010,34,0,90.0,CDC_historical
2010-08-30,2010,35,0,90.0,CDC_historical
2010-09-06,2010,36,0,90.0,CDC_historical
2010-09-13,2010,37,0,90.0,CDC_historical
2010-09-20,2010,38,0,90.0,CDC_historical
2010-09-27,2010,39,0,90.0,CDC_historical
2010-10-04,2010,40,0,90.0,CDC_historical
2010-10-11,2010,41,0,90.0,CDC_historical
2010-10-18,2010,42,0,90.0,CDC_historical
2010-10-25,2010,43,0,90.0,CDC_historical
2010-11-01,2010,44,0,90.0,CDC_historical
2010-11-08,2010,45,0,90.0,CDC_historical
2010-11-15,2010,46,0,90.0,CDC_historical
2010-11-22,2010,47,0,90.0,CDC_historical
2010-11-29,2010,48,1,90.0,CDC_historical
2010-12-06,2010,49,0,90.0,CDC_historical
2010-12-13,2010,50,0,90.0,CDC_historical
2010-12-20,2010,51,0,90.0,CDC_historical
2010-12-27,2010,52,0,90.0,CDC_historical
2011-01-03,2011,1,4,91.0,CDC_historical
2011-01-10,2011,2,6,91.0,CDC_historical
2011-01-17,2011,3,8,91.0,CDC_historical
2011-01-24,2011,4,9,91.0,CDC_historical
2011-01-31,2011,5,7,91.0,CDC_historical
2011-02-07,2011,6,8,91.0,CDC_historical
2011-02-14,2011,7,10,91.0,CDC_historical
2011-02-21,2011,8,12,91.0,CDC_historical
2011-02-28,2011,9,10,91.0,CDC_historical
2011-03-07,2011,10,11,91.0,CDC_historical
2011-03-14,2011,11,9,91.0,CDC_historical
2011-03-21,2011,12,9,91.0,CDC_historical
2011-03-28,2011,13,14,91.0,CDC_historical
2011-04-04,2011,14,15,91.0,CDC_historical
2011-04-11,2011,15,11,91.0,CDC_historical
2011-04-18,2011,16,13,91.0,CDC_historical
2011-04-25,2011,17,10,91.0,CDC_historical
2011-05-02,2011,18,8,91.0,CDC_historical
2011-05-09,2011,19,9,91.0,CDC_historical
2011-05-16,2011,20,10,91.0,CDC_historical
2011-05-23,2011,21,6,91.0,CDC_historical
2011-05-30,2011,22,7,91.0,CDC_historical
2011-06-06,2011,23,1,91.0,CDC_historical
2011-06-13,2011,24,5,91.0,CDC_historical
2011-06-20,2011,25,3,91.0,CDC_historical
2011-06-27,2011,26,2,91.0,CDC_historical
2011-07-04,2011,27,2,91.0,CDC_historical
2011-07-11,2011,28,0,91.0,CDC_historical
2011-07-18,2011,29,1,91.0,CDC_historical
2011-07-25,2011,30,1,91.0,CDC_historical
2011-08-01,2011,31,2,91.0,CDC_historical
2011-08-08,2011,32,0,91.0,CDC_historical
2011-08-15,2011,33,0,91.0,CDC_historical
2011-08-22,2011,34,0,91.0,CDC_historical
2011-08-29,2011,35,1,91.0,CDC_historical
2011-09-05,2011,36,0,91.0,CDC_historical
2011-09-12,2011,37,0,91.0,CDC_historical
2011-09-19,2011,38,0,91.0,CDC_historical
2011-09-26,2011,39,0,91.0,CDC_historical
2011-10-03,2011,40,1,91.0,CDC_historical
2011-10-10,2011,41,0,91.0,CDC_historical
2011-10-17,2011,42,0,91.0,CDC_historical
2011-10-24,2011,43,0,91.0,CDC_historical
2011-10-31,2011,44,0,91.0,CDC_historical
2011-11-07,2011,45,0,91.0,CDC_historical
2011-11-14,2011,46,0,91.0,CDC_historical
2011-11-21,2011,47,0,91.0,CDC_historical
2011-11-28,2011,48,0,91.0,CDC_historical
2011-12-05,2011,49,0,91.0,CDC_historical
2011-12-12,2011,50,0,91.0,CDC_historical
2011-12-19,2011,51,0,91.0,CDC_historical
2011-12-26,2011,52,0,91.0,CDC_historical
2012-01-02,2012,1,1,91.0,CDC_historical
2012-01-09,2012,2,2,91.0,CDC_historical
2012-01-16,2012,3,3,91.0,CDC_historical
2012-01-23,2012,4,2,91.0,CDC_historical
2012-01-30,2012,5,2,91.0,CDC_historical
2012-02-06,2012,6,2,91.0,CDC_historical
2012-02-13,2012,7,1,91.0,CDC_historical
2012-02-20,2012,8,3,91.0,CDC_historical
2012-02-27,2012,9,3,91.0,CDC_historical
2012-03-05,2012,10,5,91.0,CDC_historical
2012-03-12,2012,11,3,91.0,CDC_historical
2012-03-19,2012,12,3,91.0,CDC_historical
2012-03-26,2012,13,3,91.0,CDC_historical
2012-04-02,2012,14,2,91.0,CDC_historical
2012-04-09,2012,15,4,91.0,CDC_historical
2012-04-16,2012,16,3,91.0,CDC_historical
2012-04-23,2012,17,3,91.0,CDC_historical
2012-04-30,2012,18,1,91.0,CDC_historical
2012-05-07,2012,19,3,91.0,CDC_historical
2012-05-14,2012,20,1,91.0,CDC_historical
2012-05-21,2012,21,2,91.0,CDC_historical
2012-05-28,2012,22,3,91.0,CDC_historical
2012-06-04,2012,23,0,91.0,CDC_historical
2012-06-11,2012,24,1,91.0,CDC_historical
2012-06-18,2012,25,1,91.0,CDC_historical
2012-06-25,2012,26,0,91.0,CDC_historical
2012-07-02,2012,27,0,91.0,CDC_historical
2012-07-09,2012,28,0,91.0,CDC_historical
2012-07-16,2012,29,0,91.0,CDC_historical
2012-07-23,2012,30,0,91.0,CDC_historical
2012-07-30,2012,31,0,91.0,CDC_historical
2012-08-06,2012,32,1,91.0,CDC_historical
2012-08-13,2012,33,0,91.0,CDC_historical
2012-08-20,2012,34,0,91.0,CDC_historical
2012-08-27,2012,35,0,91.0,CDC_historical
2012-09-03,2012,36,0,91.0,CDC_historical
2012-09-10,2012,37,0,91.0,CDC_historical
2012-09-17,2012,38,1,91.0,CDC_historical
2012-09-24,2012,39,0,91.0,CDC_historical
2012-10-01,2012,40,0,91.0,CDC_historical
2012-10-08,2012,41,0,91.0,CDC_historical
2012-10-15,2012,42,0,91.0,CDC_historical
2012-10-22,2012,43,0,91.0,CDC_historical
2012-10-29,2012,44,0,91.0,CDC_historical
2012-11-05,2012,45,0,91.0,CDC_historical
2012-11-12,2012,46,0,91.0,CDC_historical
2012-11-19,2012,47,0,91.0,CDC_historical
2012-11-26,2012,48,0,91.0,CDC_historical
2012-12-03,2012,49,0,91.0,CDC_historical
2012-12-10,2012,50,0,91.0,CDC_historical
2012-12-17,2012,51,0,91.0,CDC_historical
2012-12-24,2012,52,0,91.0,CDC_historical
2012-12-31,2013,1,6,91.5,CDC_historical
2013-01-07,2013,2,5,91.5,CDC_historical
2013-01-14,2013,3,4,91.5,CDC_historical
2013-01-21,2013,4,7,91.5,CDC_historical
2013-01-28,2013,5,5,91.5,CDC_historical
2013-02-04,2013,6,9,91.5,CDC_historical
2013-02-11,2013,7,10,91.5,CDC_historical
2013-02-18,2013,8,7,91.5,CDC_historical
2013-02-25,2013,9,11,91.5,CDC_historical
2013-03-04,2013,10,11,91.5,CDC_historical
2013-03-11,2013,11,12,91.5,CDC_historical
2013-03-18,2013,12,14,91.5,CDC_historical
2013-03-25,2013,13,10,91.5,CDC_historical
2013-04-01,2013,14,8,91.5,CDC_historical
2013-04-08,2013,15,8,91.5,CDC_historical
2013-04-15,2013,16,7,91.5,CDC_historical
2013-04-22,2013,17,8,91.5,CDC_historical
2013-04-29,2013,18,8,91.5,CDC_historical
2013-05-06,2013,19,7,91.5,CDC_historical
2013-05-13,2013,20,7,91.5,CDC_historical
2013-05-20,2013,21,5,91.5,CDC_historical
2013-05-27,2013,22,6,91.5,CDC_historical
2013-06-03,2013,23,4,91.5,CDC_historical
2013-06-10,2013,24,6,91.5,CDC_historical
2013-06-17,2013,25,3,91.5,CDC_historical
2013-06-24,2013,26,1,91.5,CDC_historical
2013-07-01,2013,27,1,91.5,CDC_historical
2013-07-08,2013,28,2,91.5,CDC_historical
2013-07-15,2013,29,1,91.5,CDC_historical
2013-07-22,2013,30,1,91.5,CDC_historical
2013-07-29,2013,31,1,91.5,CDC_historical
2013-08-05,2013,32,0,91.5,CDC_historical
2013-08-12,2013,33,0,91.5,CDC_historical
2013-08-19,2013,34,0,91.5,CDC_historical
2013-08-26,2013,35,0,91.5,CDC_historical
2013-09-02,2013,36,1,91.5,CDC_historical
2013-09-09,2013,37,0,91.5,CDC_historical
2013-09-16,2013,38,0,91.5,CDC_historical
2013-09-23,2013,39,0,91.5,CDC_historical
2013-09-30,2013,40,0,91.5,CDC_historical
2013-10-07,2013,41,0,91.5,CDC_historical
2013-10-14,2013,42,0,91.5,CDC_historical
2013-10-21,2013,43,0,91.5,CDC_historical
2013-10-28,2013,44,0,91.5,CDC_historical
2013-11-04,2013,45,0,91.5,CDC_historical
2013-11-11,2013,46,0,91.5,CDC_historical
2013-11-18,2013,47,1,91.5,CDC_historical
2013-11-25,2013,48,1,91.5,CDC_historical
2013-12-02,2013,49,0,91.5,CDC_historical
2013-12-09,2013,50,0,91.5,CDC_historical
2013-12-16,2013,51,0,91.5,CDC_historical
2013-12-23,2013,52,0,91.5,CDC_historical
2013-12-30,2014,1,15,91.5,CDC_historical
2014-01-06,2014,2,28,91.5,CDC_historical
2014-01-13,2014,3,21,91.5,CDC_historical
2014-01-20,2014,4,26,91.5,CDC_historical
2014-01-27,2014,5,29,91.5,CDC_historical
2014-02-03,2014,6,30,91.5,CDC_historical
2014-02-10,2014,7,28,91.5,CDC_historical
2014-02-17,2014,8,36,91.5,CDC_historical
2014-02-24,2014,9,29,91.5,CDC_historical
2014-03-03,2014,10,34,91.5,CDC_historical
2014-03-10,2014,11,33,91.5,CDC_historical
2014-03-17,2014,12,36,91.5,CDC_historical
2014-03-24,2014,13,49,91.5,CDC_historical
2014-03-31,2014,14,24,91.5,CDC_historical
2014-04-07,2014,15,77,91.5,CDC_historical
2014-04-14,2014,16,64,91.5,CDC_historical
2014-04-21,2014,17,56,91.5,CDC_historical
2014-04-28,2014,18,64,91.5,CDC_historical
2014-05-05,2014,19,62,91.5,CDC_historical
2014-05-12,2014,20,39,91.5,CDC_historical
2014-05-19,2014,21,62,91.5,CDC_historical
2014-05-26,2014,22,61,91.5,CDC_historical
2014-06-02,2014,23,38,91.5,CDC_historical
2014-06-09,2014,24,32,91.5,CDC_historical
