year,week,cases,vax_rate,date
2010,1,2,90.0,2010-01-04
2010,2,1,90.0,2010-01-11
2010,3,2,90.0,2010-01-18
2010,4,3,90.0,2010-01-25
2010,5,2,90.0,2010-02-01
2010,6,2,90.0,2010-02-08
2010,7,4,90.0,2010-02-15
2010,8,4,90.0,2010-02-22
2010,9,3,90.0,2010-03-01
2010,10,4,90.0,2010-03-08
2010,11,3,90.0,2010-03-15
2010,12,3,90.0,2010-03-22
2010,13,4,90.0,2010-03-29
2010,14,1,90.0,2010-04-05
2010,15,1,90.0,2010-04-12
2010,16,2,90.0,2010-04-19
2010,17,2,90.0,2010-04-26
2010,18,3,90.0,2010-05-03
2010,19,2,90.0,2010-05-10
2010,20,1,90.0,2010-05-17
2010,21,3,90.0,2010-05-24
2010,22,1,90.0,2010-05-31
2010,23,1,90.0,2010-06-07
2010,24,0,90.0,2010-06-14
2010,25,1,90.0,2010-06-21
2010,26,1,90.0,2010-06-28
2010,27,0,90.0,2010-07-05
2010,28,1,90.0,2010-07-12
2010,29,0,90.0,2010-07-19
2010,30,0,90.0,2010-07-26
2010,31,0,90.0,2010-08-02
2010,32,1,90.0,2010-08-09
2010,33,0,90.0,2010-08-16
2010,34,0,90.0,2010-08-23
2010,35,0,90.0,2010-08-30
2010,36,0,90.0,2010-09-06
2010,37,0,90.0,2010-09-13
2010,38,0,90.0,2010-09-20
2010,39,0,90.0,2010-09-27
2010,40,0,90.0,2010-10-04
2010,41,0,90.0,2010-10-11
2010,42,0,90.0,2010-10-18
2010,43,0,90.0,2010-10-25
2010,44,0,90.0,2010-11-01
2010,45,0,90.0,2010-11-08
2010,46,0,90.0,2010-11-15
2010,47,0,90.0,2010-11-22
2010,48,1,90.0,2010-11-29
2010,49,0,90.0,2010-12-06
2010,50,0,90.0,2010-12-13
2010,51,0,90.0,2010-12-20
2010,52,0,90.0,2010-12-27
2011,1,4,91.0,2011-01-03
2011,2,6,91.0,2011-01-10
2011,3,8,91.0,2011-01-17
2011,4,9,91.0,2011-01-24
2011,5,7,91.0,2011-01-31
2011,6,8,91.0,2011-02-07
2011,7,10,91.0,2011-02-14
2011,8,12,91.0,2011-02-21
2011,9,10,91.0,2011-02-28
2011,10,11,91.0,2011-03-07
2011,11,9,91.0,2011-03-14
2011,12,9,91.0,2011-03-21
2011,13,14,91.0,2011-03-28
2011,14,15,91.0,2011-04-04
2011,15,11,91.0,2011-04-11
2011,16,13,91.0,2011-04-18
2011,17,10,91.0,2011-04-25
2011,18,8,91.0,2011-05-02
2011,19,9,91.0,2011-05-09
2011,20,10,91.0,2011-05-16
2011,21,6,91.0,2011-05-23
2011,22,7,91.0,2011-05-30
2011,23,1,91.0,2011-06-06
2011,24,5,91.0,2011-06-13
2011,25,3,91.0,2011-06-20
2011,26,2,91.0,2011-06-27
2011,27,2,91.0,2011-07-04
2011,28,0,91.0,2011-07-11
2011,29,1,91.0,2011-07-18
2011,30,1,91.0,2011-07-25
2011,31,2,91.0,2011-08-01
2011,32,0,91.0,2011-08-08
2011,33,0,91.0,2011-08-15
2011,34,0,91.0,2011-08-22
2011,35,1,91.0,2011-08-29
2011,36,0,91.0,2011-09-05
2011,37,0,91.0,2011-09-12
2011,38,0,91.0,2011-09-19
2011,39,0,91.0,2011-09-26
2011,40,1,91.0,2011-10-03
2011,41,0,91.0,2011-10-10
2011,42,0,91.0,2011-10-17
2011,43,0,91.0,2011-10-24
2011,44,0,91.0,2011-10-31
2011,45,0,91.0,2011-11-07
2011,46,0,91.0,2011-11-14
2011,47,0,91.0,2011-11-21
2011,48,0,91.0,2011-11-28
2011,49,0,91.0,2011-12-05
2011,50,0,91.0,2011-12-12
2011,51,0,91.0,2011-12-19
2011,52,0,91.0,2011-12-26
2012,1,1,91.0,2012-01-02
2012,2,2,91.0,2012-01-09
2012,3,3,91.0,2012-01-16
2012,4,2,91.0,2012-01-23
2012,5,2,91.0,2012-01-30
2012,6,2,91.0,2012-02-06
2012,7,1,91.0,2012-02-13
2012,8,3,91.0,2012-02-20
2012,9,3,91.0,2012-02-27
2012,10,5,91.0,2012-03-05
2012,11,3,91.0,2012-03-12
2012,12,3,91.0,2012-03-19
2012,13,3,91.0,2012-03-26
2012,14,2,91.0,2012-04-02
2012,15,4,91.0,2012-04-09
2012,16,3,91.0,2012-04-16
2012,17,3,91.0,2012-04-23
2012,18,1,91.0,2012-04-30
2012,19,3,91.0,2012-05-07
2012,20,1,91.0,2012-05-14
2012,21,2,91.0,2012-05-21
2012,22,3,91.0,2012-05-28
2012,23,0,91.0,2012-06-04
2012,24,1,91.0,2012-06-11
2012,25,1,91.0,2012-06-18
